CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
49001100100,Utah,Beaver,0,3818,1338,0,14,0.0036668,0,0,0,0,0,0,15.1,56250,0,0,0,0,0,0,0,0,6.047872532,6.047872532,0.0,2.340263735,2.340263735,0.0,2316.267318,0.606670329,836.4172291,0.219072087,775.9805341,0.203242675,303.7934492,0.07956874,2061.330178,0.539897899,3.279085977,0.000858849,29.51603577,0.007730758,5.607193342,0.001468621,30.21023608,0.007912581,186.3245906,0.048801621,246.393751,0.06453477,11.71241112,0.00875367,66.85071827,0.049963168,1139.909461,0.298561933,407.0741339,0.106619731,338.2655973,0.08859759,187.6336692,0.049144492,1039.862644,0.272357948,0.0,0.0,14.14887937,0.003705835,1.000000044,0.000261917,20.47010963,0.005361474,64.42782873,0.016874759,81.74618106,0.021410734,2.915193543,0.002178769,34.30259161,0.025637213,6.047872532,0.001584042,2.340263735,0.000612955,0.0,0.0,1.015957516,0.000266097,6.031915003,0.001579862,0.0,0.0,0.0,0.0,0.0,0.0,0.015957531,4.17955e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.351103696,0.000262409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343,1267,539,3409,5,54,11,43,296,414,26,105
49001100200,Utah,Beaver,0,2811,927,0,10,0.0035575,0,0,0,0,0,0,10.5,62972,1,1,0,0,0,1,0,0,945.3841941,945.3841941,3.999999864,261.1890752,261.1890752,0.247058812,1610.656192,0.572983348,335.2033476,0.119247011,580.1184811,0.206374415,179.484931,0.063850918,1464.093326,0.5208443,2.285455439,0.00081304,9.947863368,0.003538906,4.178750575,0.001486571,4.47035462,0.001590308,125.680441,0.044710224,156.8682793,0.055805151,3.679832335,0.003969614,7.368277591,0.00794852,1427.970591,0.507993807,290.9958822,0.103520413,528.4012235,0.187976245,150.7867793,0.053641686,1296.699092,0.46129459,0.0,0.0,8.000000266,0.002845962,4.0,0.001422981,3.000000072,0.001067236,116.2714979,0.041363037,145.2617103,0.051676169,2.038910503,0.002199472,6.380045052,0.006882465,945.3841941,0.336315971,261.1890752,0.092916782,354.4402746,0.126090457,85.72624456,0.030496707,833.3841915,0.296472498,0.0,0.0,6.000000268,0.002134472,4.0,0.001422981,1.0,0.000355745,101.0000004,0.035930274,118.018568,0.041984549,2.038910503,0.002199472,4.167318644,0.004495489,3.999999864,0.001422981,0.247058812,8.789e-05,0.99999997,0.000355745,0.0,0.0,3.999999864,0.001422981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029106028,3.13981e-05,732,977,293,2491,11,16,8,33,252,302,19,14
49003960100,Utah,Box Elder,0,3152,978,0,9,0.0028553,0,0,0,0,0,0,13.7,62798,1,1,1,0,0,1,1,1,1766.581833,1766.581833,694.3543585,643.9567814,643.9567814,341.3414198,3152.000018,1.000000006,1013.647287,0.321588606,1142.000009,0.362309648,279.0000009,0.088515229,2981.000023,0.945748738,6.000000117,0.001903553,7.999999932,0.002538071,4.000000026,0.001269036,7.999999903,0.002538071,144.9999998,0.046002538,182.9999997,0.058058376,19.30453542,0.019738789,54.27421136,0.055495104,3152.000018,1.000000006,1013.647287,0.321588606,1142.000009,0.362309648,279.0000009,0.088515229,2981.000023,0.945748738,6.000000117,0.001903553,7.999999932,0.002538071,4.000000026,0.001269036,7.999999903,0.002538071,144.9999998,0.046002538,182.9999997,0.058058376,19.30453542,0.019738789,54.27421136,0.055495104,1766.581833,0.560463779,643.9567814,0.204301009,613.8479434,0.194748713,204.629947,0.064920668,1668.964103,0.529493687,2.039654536,0.000647099,5.999999986,0.001903553,0.0,0.0,4.999999884,0.001586294,84.57807394,0.026833145,118.4066542,0.037565563,12.69734238,0.012982968,32.24434874,0.032969682,694.3543585,0.220290088,341.3414198,0.108293598,241.9471471,0.076759882,76.56073476,0.024289573,629.2103114,0.199622561,1.000000035,0.000317259,5.999999986,0.001903553,0.0,0.0,2.999999859,0.000951777,55.14404551,0.017494938,77.14404578,0.024474634,6.802755644,0.006955783,12.96238152,0.013253969,935,1142,279,2981,6,8,4,8,145,183,18,51
49003960200,Utah,Box Elder,0,6901,2186,0,0,0.0,0,0,0,0,0,0,9.2,63638,0,0,0,0,0,0,0,0,4.305720368,4.305720368,0.0,0.650596648,0.650596648,0.0,6901.000031,1.000000004,1813.059296,0.262724141,2407.0,0.34879003,778.0000017,0.112737285,6475.000022,0.938269819,16.00000017,0.002318505,74.99999974,0.01086799,17.99999984,0.002608318,21.99999998,0.003187944,295.0000025,0.042747428,405.9999989,0.058832053,36.26347863,0.016588966,133.3290857,0.060992262,6779.766139,0.982432421,1774.771557,0.257175997,2362.261683,0.342307156,768.3603959,0.111340443,6368.400222,0.922822811,16.00000017,0.002318505,71.44193457,0.010352403,17.99999984,0.002608318,20.08431463,0.002910348,285.8396622,0.041420035,389.2812553,0.056409398,34.65363816,0.015852533,131.021672,0.059936721,4.305720368,0.000623927,0.650596648,9.42757e-05,0.741498251,0.000107448,0.945910707,0.000137069,4.26108988,0.00061746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04463049,6.46725e-06,0.052840667,7.65696e-06,0.038218233,1.74832e-05,0.114919111,5.25705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745,2407,778,6475,16,75,18,22,295,406,37,134
49003960300,Utah,Box Elder,1,8186,2558,0,32,0.0039091,1,1,1,1,1,1,14.7,56216,1,1,1,1,1,0,0,1,2416.491702,6146.979496,2416.491702,825.7907303,2184.849308,825.7907303,6146.979496,0.750913694,2184.849308,0.266900722,2328.300001,0.284424628,511.2922041,0.062459346,5611.579211,0.68550931,19.08344493,0.00233123,93.97903414,0.011480459,9.136871641,0.001116158,25.03537801,0.003058316,388.16556,0.047418221,573.6313248,0.070074679,133.2958083,0.052109386,309.0019739,0.12079827,2416.491702,0.295198107,825.7907303,0.100878418,916.5207816,0.111961982,158.0727068,0.019310128,2190.362468,0.267574208,13.31211983,0.001626206,55.28111088,0.006753129,0.972773158,0.000118834,7.123570011,0.000870214,149.439658,0.018255516,194.5161118,0.023762046,18.94464316,0.007406037,118.1968753,0.046206753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3195,3034,717,7407,29,120,15,41,574,927,233,431
49003960400,Utah,Box Elder,0,4872,1535,0,0,0.0,0,0,0,0,0,0,4.0,69682,0,0,0,0,0,0,0,0,76.47116953,76.47116953,3.074004503,28.28385692,28.28385692,1.136960548,4872.000012,1.000000003,1572.088536,0.322678271,1622.000005,0.332922825,549.0000006,0.112684729,4553.000018,0.934523813,21.99999995,0.004515599,55.00000055,0.011288998,2.000000038,0.000410509,22.00000026,0.004515599,218.0000009,0.044745485,288.9999994,0.059318555,10.26233982,0.006685563,72.24693764,0.047066409,4872.000012,1.000000003,1572.088536,0.322678271,1622.000005,0.332922825,549.0000006,0.112684729,4553.000018,0.934523813,21.99999995,0.004515599,55.00000055,0.011288998,2.000000038,0.000410509,22.00000026,0.004515599,218.0000009,0.044745485,288.9999994,0.059318555,10.26233982,0.006685563,72.24693764,0.047066409,76.47116953,0.015696053,28.28385692,0.005805389,13.73879478,0.00281995,17.73383962,0.003639951,70.16649482,0.01440199,0.0,0.0,0.577804331,0.000118597,0.0,0.0,1.00284472,0.000205838,4.724026019,0.000969628,5.54118794,0.001137354,0.0,0.0,1.597489212,0.00104071,3.074004503,0.000630953,1.136960548,0.000233366,0.368880519,7.57144e-05,0.983681407,0.000201905,3.074004503,0.000630953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069447524,4.52427e-05,1619,1622,549,4553,22,55,2,22,218,289,10,73
49003960500,Utah,Box Elder,1,5023,1623,0,158,0.0314553,0,0,0,0,0,0,5.6,71510,1,1,1,1,1,0,0,0,850.0496257,2904.099308,850.0496257,175.355366,604.3948523,175.355366,2904.099308,0.578160324,604.3948523,0.120325473,985.1525252,0.196128315,279.2588815,0.055596035,2613.871517,0.520380553,10.9149229,0.002172989,15.77610742,0.003140774,1.311282761,0.000261056,40.56271099,0.008075395,221.662762,0.044129556,253.5186779,0.050471566,28.57765049,0.017607918,79.52501465,0.048998777,850.0496257,0.16923146,175.355366,0.034910485,290.8968053,0.057912961,65.06374711,0.012953165,796.537959,0.158578132,4.884492401,0.000972425,4.488366183,0.000893563,0.0,0.0,8.792565309,0.001750461,35.34624438,0.007036879,56.89278679,0.011326456,3.174059829,0.001955675,19.8112399,0.012206556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176,1617,549,4468,22,27,7,87,412,558,111,152
49003960601,Utah,Box Elder,1,3720,1306,0,5,0.0013441,0,1,0,0,0,1,4.3,51012,0,1,0,1,0,0,0,0,0.0,1114.274246,0.0,0.0,404.1788912,0.0,1114.274246,0.299536088,404.1788912,0.10865024,338.5354242,0.091004146,225.2342756,0.060546848,1057.062985,0.284156716,4.13142243,0.001110597,4.319363633,0.001161119,0.0,0.0,6.504970308,0.001748648,42.25550366,0.011359006,55.66650184,0.014964113,7.0909674,0.005429531,52.18244414,0.03995593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286,1160,578,3304,21,15,6,33,341,396,91,178
49003960602,Utah,Box Elder,0,2429,769,0,39,0.016056,0,0,0,0,0,0,11.1,64113,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2273.877188,0.936137171,705.5923177,0.290486751,704.9815124,0.290235287,316.7345029,0.130397078,2150.833608,0.885481107,7.999999982,0.003293536,8.999833853,0.00370516,4.000000119,0.001646768,15.00938601,0.006179245,87.03436363,0.035831356,100.4977776,0.041374137,3.537375296,0.004599968,38.51072347,0.050078964,338.7898597,0.139477093,133.2003489,0.054837525,94.5269545,0.038915996,44.46131598,0.018304371,318.1443925,0.130977519,1.622847132,0.000668113,1.199315421,0.000493749,0.0,0.0,3.999999955,0.001646768,13.82330834,0.005690946,7.859259638,0.003235595,0.354730923,0.000461289,6.10390756,0.007937461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782,738,337,2302,8,9,4,16,90,109,4,44
49003960701,Utah,Box Elder,1,4765,1574,0,92,0.0193074,1,1,1,0,0,1,12.6,52396,1,1,1,1,1,0,0,0,848.993715,4068.951646,848.993715,356.2938549,1600.290689,356.2938549,4068.951646,0.853924795,1600.290689,0.335842747,1328.170775,0.278734685,542.061297,0.113758929,3582.916095,0.75192363,15.00156234,0.003148282,30.86964167,0.006478414,5.938065924,0.001246184,74.53702355,0.015642607,359.6892484,0.075485676,487.260936,0.102258329,89.21820218,0.056682466,206.5052164,0.131197723,848.993715,0.178172868,356.2938549,0.074773107,280.2239423,0.058808802,131.3387438,0.02756322,737.9716698,0.154873383,5.40664342,0.001134658,6.099966701,0.001280161,1.0,0.000209864,11.06517447,0.002322177,87.45026272,0.018352626,103.1070549,0.021638417,11.99986203,0.007623801,41.74902384,0.026524157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949,1560,618,4194,19,41,6,86,419,583,94,248
49003960702,Utah,Box Elder,1,2281,814,0,2,0.0008768,0,0,0,0,0,0,14.4,61190,1,1,1,1,1,0,0,0,958.9342521,2276.550299,958.9342521,443.5844272,820.1792145,443.5844272,2276.550299,0.998049232,820.1792145,0.35957002,762.6919651,0.334367367,217.8537871,0.095508017,2019.949432,0.885554332,11.00000021,0.004822446,19.74708544,0.008657205,3.000000088,0.001315213,41.87354235,0.018357537,180.9802414,0.0793425,291.9762926,0.128003635,63.45215702,0.077951053,90.99909803,0.111792504,958.9342521,0.420400812,443.5844272,0.19446928,337.7818104,0.148084967,79.61536332,0.03490371,833.4617606,0.365393144,8.049199441,0.003528803,8.841691576,0.003876235,1.442894163,0.000632571,22.19349538,0.009729722,84.94521023,0.037240338,151.4670961,0.066403812,43.21410905,0.053088586,38.08546207,0.046788037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908,764,218,2024,11,20,3,42,181,292,75,99
49003960801,Utah,Box Elder,0,4206,1354,0,2,0.0004755,0,0,0,0,0,0,9.5,68929,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4205.99999,0.999999998,1409.377177,0.335087298,1337.000006,0.317879222,428.9999998,0.101997147,3942.999993,0.937470279,15.00000008,0.003566334,42.99999988,0.01022349,8.000000121,0.001902045,25.00000012,0.00594389,172.0000007,0.040893961,216.0000013,0.051355207,37.78791247,0.027908355,175.3524662,0.129506991,4205.99999,0.999999998,1409.377177,0.335087298,1337.000006,0.317879222,428.9999998,0.101997147,3942.999993,0.937470279,15.00000008,0.003566334,42.99999988,0.01022349,8.000000121,0.001902045,25.00000012,0.00594389,172.0000007,0.040893961,216.0000013,0.051355207,37.78791247,0.027908355,175.3524662,0.129506991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459,1337,429,3943,15,43,8,25,172,216,39,176
49003960802,Utah,Box Elder,1,4440,1361,0,0,0.0,0,0,0,0,0,0,6.3,92595,1,1,1,1,1,0,0,0,2984.099268,4319.892651,2984.099268,403.8660842,665.4305552,403.8660842,4319.892651,0.972948795,665.4305552,0.149871747,1551.663084,0.349473668,499.2522757,0.112444206,4098.305459,0.92304177,2.999999984,0.000675676,26.39175327,0.005944089,10.99999988,0.002477477,28.37264254,0.006390235,152.8227926,0.034419548,188.8709739,0.042538508,25.77933199,0.018941464,42.29755403,0.031078291,2984.099268,0.67209443,403.8660842,0.09096083,1114.184565,0.25094247,321.3727492,0.07238125,2824.406495,0.636127589,2.999999984,0.000675676,16.91799211,0.003810359,7.141001122,0.001608334,19.02204299,0.004284244,113.6117283,0.025588227,131.3721013,0.029588311,20.86010785,0.015327045,28.09246238,0.020641045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682,1597,511,4210,3,30,11,30,156,193,26,43
49005000101,Utah,Cache,0,4599,1414,0,10,0.0021744,0,0,0,0,0,0,9.5,57262,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4204.303149,0.91417768,1708.516205,0.371497327,1494.303541,0.324919231,393.9737905,0.085665099,3956.672162,0.860333151,23.00000004,0.005001087,6.599237006,0.001434929,2.999999981,0.000652316,26.47220957,0.005756079,188.5595242,0.041000114,249.6724608,0.054288424,30.41823347,0.021512188,96.87968091,0.068514626,3857.300966,0.83872602,1536.690914,0.33413588,1367.646692,0.297379146,362.8494548,0.078897468,3654.097798,0.794541813,22.97865689,0.004996446,5.619493489,0.001221895,2.999999981,0.000652316,21.86351857,0.004753972,149.7414863,0.032559575,199.9324526,0.043473027,29.13298851,0.020603245,88.68581825,0.062719815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961,1618,444,4313,23,9,3,36,215,281,34,114
49005000102,Utah,Cache,0,1563,493,0,0,0.0,0,0,0,0,0,0,13.3,61538,1,1,0,0,0,1,0,0,715.5203626,715.5203626,0.0,155.7774967,155.7774967,0.0,1563.000001,1.000000001,570.3459213,0.36490462,546.9999985,0.349968009,178.9999992,0.114523352,1449.000002,0.927063341,0.0,0.0,2.999999971,0.001919386,0.0,0.0,1.000000028,0.000639795,109.9999992,0.070377479,130.9999994,0.083813179,3.297124614,0.00668788,11.95708956,0.024253731,1563.000001,1.000000001,570.3459213,0.36490462,546.9999985,0.349968009,178.9999992,0.114523352,1449.000002,0.927063341,0.0,0.0,2.999999971,0.001919386,0.0,0.0,1.000000028,0.000639795,109.9999992,0.070377479,130.9999994,0.083813179,3.297124614,0.00668788,11.95708956,0.024253731,715.5203626,0.45778654,155.7774967,0.099665705,242.7709264,0.155323689,90.71234036,0.058037326,701.5203619,0.448829406,0.0,0.0,1.000000007,0.000639795,0.0,0.0,0.0,0.0,12.99999977,0.008317338,18.99999967,0.01215611,0.0,0.0,5.506963314,0.011170311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,547,179,1449,0,3,0,1,110,131,4,13
49005000201,Utah,Cache,1,3228,1019,0,0,0.0,0,0,0,0,0,0,13.5,59063,1,1,1,1,1,0,0,0,2361.531869,3141.10457,2361.531869,994.2795345,1265.668656,994.2795345,3141.10457,0.973080722,1265.668656,0.392090662,1063.476499,0.329453686,308.4402857,0.095551514,2916.609993,0.903534694,25.00000015,0.007744734,13.99999987,0.004337051,2.999999959,0.000929368,9.000000214,0.002788104,173.4945697,0.053746769,211.2472857,0.065442158,74.64248104,0.073250717,76.70516051,0.075274937,2361.531869,0.731577407,994.2795345,0.308017204,815.6806132,0.252689161,207.4272383,0.064258748,2184.826798,0.676836059,17.69765781,0.005482546,10.99999987,0.003407683,1.999999959,0.000619579,7.864464393,0.002436327,138.1429462,0.042795213,168.9991195,0.052354126,50.81213488,0.049864705,56.6954236,0.055638296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418,1086,326,3001,25,14,3,9,176,212,77,80
49005000202,Utah,Cache,1,6953,2034,0,0,0.0,0,0,0,0,0,0,4.8,63092,1,1,1,1,1,0,0,0,4364.254214,6325.814709,4364.254214,1283.616807,1954.24353,1283.616807,6325.814709,0.909796449,1954.24353,0.281064797,2351.150222,0.338149032,543.207221,0.078125589,5937.633543,0.853967143,31.99999983,0.00460233,31.30108565,0.00450181,3.999999937,0.000575291,6.999999929,0.00100676,313.8800702,0.045143114,371.3757797,0.053412308,49.60299337,0.024386919,88.47510498,0.043498085,4364.254214,0.627679306,1283.616807,0.184613376,1633.367395,0.234915489,376.6957693,0.054177444,4086.437517,0.587722928,25.81481994,0.00371276,17.04834948,0.002451942,2.176847723,0.00031308,5.357653353,0.000770553,227.4190211,0.032708043,249.5553285,0.035891749,36.21709267,0.017805847,60.41942069,0.02970473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281,2597,606,6535,32,37,4,7,338,410,51,99
49005000300,Utah,Cache,0,7492,2038,0,324,0.0432461,0,0,0,0,0,1,17.3,51165,0,0,0,0,0,0,0,0,11.46842705,11.46842705,0.0,4.461023796,4.461023796,0.0,7492.000018,1.000000002,3431.207894,0.457982901,2800.000018,0.373731983,439.0000001,0.058595836,6435.000029,0.858916181,39.00000015,0.005205553,74.00000085,0.009877202,13.99999969,0.00186866,68.9999997,0.009209824,861.0000037,0.114922585,1272.000001,0.1697811,45.92350735,0.022533615,254.7500007,0.125,7252.901341,0.968086137,3282.927009,0.438191005,2695.843126,0.359829568,432.3873351,0.057713205,6238.526435,0.832691729,38.0516746,0.005078974,71.50125372,0.00954368,13.98735985,0.001866973,68.84832159,0.009189578,821.9863076,0.109715204,1227.445297,0.163834129,44.15473048,0.021665717,247.8375562,0.121608222,11.46842705,0.001530756,4.461023796,0.000595438,3.620549303,0.000483255,1.52836706,0.000204,10.41166623,0.001389705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.056760907,0.000141052,1.061389346,0.00014167,0.156083983,7.65868e-05,0.544668072,0.000267256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3429,2800,439,6435,39,74,14,69,861,1272,46,255
49005000401,Utah,Cache,1,3338,1146,0,71,0.0212702,1,1,1,0,0,1,16.9,52245,1,1,1,1,1,0,0,0,635.1354552,1896.140776,635.1354552,312.4328999,674.0442503,312.4328999,1896.140776,0.568046967,674.0442503,0.201930572,636.3301398,0.190632157,342.3976458,0.102575688,1731.962832,0.518862442,1.787283217,0.000535435,36.3074359,0.010877003,7.849470715,0.002351549,2.170494735,0.000650238,116.0632551,0.034770298,146.1759249,0.043791469,35.21677136,0.030730167,47.04577001,0.041052155,635.1354552,0.190274253,312.4328999,0.093598832,217.866859,0.065268682,140.393045,0.042059031,555.1331156,0.166307105,0.0,0.0,3.046267137,0.000912602,0.0,0.0,1.695581287,0.000507963,75.26049519,0.022546583,100.4873399,0.030104056,17.67847428,0.015426243,17.27829949,0.01507705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1644,993,438,2954,12,80,21,25,246,328,95,97
